,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Malus angustifolia,"Southern Crab, Southern crab apple",Tree,7.0,3-8,M,LMH,SN,M,2,0,2.0,Malus floribunda
1,Malus baccata,"Chinese Crab, Siberian crab apple",Tree,15.0,2-7,M,LMH,SN,M,2,1,2.0,Malus floribunda
2,Malus baccata mandschurica,Manchurian Apple,Tree,7.0,0-0,,LMH,SN,M,4,0,2.0,Malus floribunda
3,Malus bracteata,,Tree,7.0,5-9,,LMH,SN,M,2,0,,Malus floribunda
4,Malus brevipes,,Tree,3.0,4-8,,LMH,SN,M,2,0,,Malus floribunda
5,Malus coronaria,"Garland Crab, Sweet crab apple",Tree,7.0,4-8,,LMH,SN,MWe,3,1,3.0,Malus floribunda
6,Malus domestica,Apple,Tree,9.0,3-8,,LMH,SN,M,5,2,4.0,Malus floribunda
7,Malus florentina,Hawthorn-leaf crab apple,Tree,8.0,4-8,,LMH,SN,MWe,2,0,,Malus floribunda
8,Malus fusca,"Oregon Crab, Oregon crab apple",Tree,12.0,5-9,S,LMH,SN,M,3,2,2.0,Malus floribunda
9,Malus glabrata,,Tree,5.0,5-9,,LMH,SN,M,2,0,,Malus floribunda
10,Malus glaucescens,,Tree,5.0,4-8,,LMH,SN,M,2,0,1.0,Malus floribunda
11,Malus halliana,Hall crab apple,Tree,4.0,4-8,,LMH,SN,M,2,0,,Malus floribunda
12,Malus halliana spontanea,,Tree,4.0,4-8,,LMH,SN,M,2,0,,Malus floribunda
13,Malus hupehensis,"Chinese Crab, Chinese crab apple, Tea Crabapple, Flowering Tea Crabapple",Tree,7.0,4-8,M,LMH,SN,M,2,0,2.0,Malus floribunda
14,Malus ioensis,"Prairie Crab, Prairie crab apple, Texas crab apple, Prairie Crabapple",Tree,5.0,3-8,S,LMH,SN,M,2,0,2.0,Malus floribunda
15,Malus ioensis palmeri,Prairie Crab,Tree,5.0,-,,LMH,SN,M,2,0,,Malus floribunda
16,Malus kansuensis,,Tree,5.0,4-8,,LMH,SN,M,2,0,,Malus floribunda
17,Malus lancifolia,,Tree,6.0,4-8,,LMH,SN,M,2,0,1.0,Malus floribunda
18,Malus praecox,,Tree,0.0,-,,LMH,SN,M,2,0,,Malus floribunda
19,Malus prattii,Pratt apple,Tree,10.0,5-9,,LMH,SN,M,2,0,,Malus floribunda
20,Malus prunifolia,"Chinese Apple, Plumleaf crab apple",Tree,8.0,3-7,,LMH,SN,M,4,0,1.0,Malus floribunda
21,Malus prunifolia rinkii,Chinese Apple,Tree,8.0,3-7,,LMH,SN,M,3,0,,Malus floribunda
22,Malus pumila,"Paradise Apple, Common Apple, Apple Tree",Tree,7.0,3-9,M,LMH,SN,M,4,2,3.0,Malus floribunda
23,Malus pumila nervosa,Crab Apple,Tree,5.0,3-7,,LMH,SN,M,3,0,2.0,Malus floribunda
24,Malus pumila paradisiaca,Paradise Apple,Tree,5.0,3-7,,LMH,SN,M,3,0,2.0,Malus floribunda
25,Malus sargentii,"Sargent's apple, Sargent Crabapple",Shrub,4.0,4-8,S,LMH,SN,M,2,0,,Malus floribunda
26,Malus sieversii,Crabapple,Tree,8.0,4-10,,LMH,SN,M,3,0,0.0,Malus floribunda
27,Malus sikkimensis,,Tree,7.0,5-9,,LMH,SN,M,2,0,,Malus floribunda
28,Malus spectabilis,"Chinese Flowering Apple, Asiatic apple",Tree,9.0,4-8,,LMH,SN,M,3,0,,Malus floribunda
