,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Cotoneaster acuminatus,Acuminate cotoneaster,Shrub,4.0,4-8,,LMH,SN,DM,0,0,3,Cotoneaster franchetii
1,Cotoneaster bacillaris,,Shrub,5.0,5-9,F,LMH,SN,DM,0,1,3,Cotoneaster franchetii
2,Cotoneaster conspicuus,"Tibetan Cotoneaster, Cotoneaster",Shrub,3.0,6-8,M,LMH,SN,DM,0,0,3,Cotoneaster franchetii
3,Cotoneaster coriaceus,,Shrub,4.0,5-9,F,LMH,SN,DM,0,0,3,Cotoneaster franchetii
4,Cotoneaster divaricatus,Spreading Cotoneaster,Shrub,2.0,4-8,F,LMH,SN,DM,0,0,3,Cotoneaster franchetii
5,Cotoneaster frigidus,,Shrub,10.0,6-9,F,LMH,FSN,DM,0,1,3,Cotoneaster franchetii
6,Cotoneaster glaucophyllus,,Shrub,3.0,6-9,M,LMH,SN,DM,0,0,3,Cotoneaster franchetii
7,Cotoneaster microphyllus,,Shrub,1.0,4-8,S,LMH,SN,DM,2,1,3,Cotoneaster franchetii
8,Cotoneaster racemiflorus,"Black-Wood, Cotoneaster",Shrub,2.4,3-7,M,LMH,SN,DM,2,1,2,Cotoneaster franchetii
9,Cotoneaster serotinus,,Shrub,6.0,6-9,M,LMH,SN,DM,0,0,3,Cotoneaster franchetii
10,Cotoneaster simonsii,Simons' cotoneaster,Shrub,3.0,4-8,F,LMH,SN,DM,0,0,2,Cotoneaster franchetii
11,Cotoneaster wardii,,Shrub,4.0,5-9,,LMH,SN,DM,0,0,3,Cotoneaster franchetii
