,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Amelanchier alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",Shrub,4.0,4-6,M,LMH,SN,M,5,2,3.0,Amelanchier laevis
1,Amelanchier alnifolia cusickii,Cusick's Serviceberry,Shrub,3.0,0-0,,LMH,SN,M,4,1,0.0,Amelanchier laevis
2,Amelanchier alnifolia semiintegrifolia,Pacific Serviceberry,Shrub,3.0,0-0,S,LMH,SN,M,5,1,1.0,Amelanchier laevis
3,Amelanchier arborea,"Downy Serviceberry, Alabama serviceberry, Juneberry, Common Serviceberry, Downy Serviceberry",Tree,10.0,5-8,S,LMH,SN,M,3,1,2.0,Amelanchier laevis
4,Amelanchier asiatica,Korean Juneberry,Tree,8.0,4-8,,LMH,SN,M,3,0,,Amelanchier laevis
5,Amelanchier bartramiana,Oblongfruit serviceberry,Shrub,3.0,4-8,,LMH,SN,M,3,0,0.0,Amelanchier laevis
6,Amelanchier basalticola,Dwarf Service-berry,Shrub,3.0,4-8,,LMH,SN,M,4,0,0.0,Amelanchier laevis
7,Amelanchier canadensis,"Juneberry, Canadian serviceberry, Serviceberry Downy, Shadblow, Shadbush, Serviceberry",Shrub,6.0,4-7,M,LMH,SN,M,4,1,4.0,Amelanchier laevis
8,Amelanchier confusa,,Shrub,3.0,4-8,,LMH,SN,M,5,0,0.0,Amelanchier laevis
9,Amelanchier humilis,Low serviceberry,Shrub,1.8,4-8,,LMH,SN,M,3,0,,Amelanchier laevis
10,Amelanchier huroensis,,Tree,6.0,5-9,,LMH,SN,M,3,0,,Amelanchier laevis
11,Amelanchier interior,Pacific serviceberry,Tree,9.0,5-9,,LMH,SN,M,3,0,,Amelanchier laevis
12,Amelanchier intermedia,"June berry,",Shrub,6.0,4-8,,LMH,SN,M,3,0,0.0,Amelanchier laevis
13,Amelanchier lamarckii,Apple Serviceberry,Shrub,6.0,3-3,,LMH,SN,M,5,0,0.0,Amelanchier laevis
14,Amelanchier obovalis,"Southern Juneberry, Coastal serviceberry",Tree,1.5,5-9,,LMH,SN,M,3,0,1.0,Amelanchier laevis
15,Amelanchier ovalis,"Snowy Mespilus, Dwarf Garden Serviceberry",Shrub,5.0,5-7,S,LMH,N,M,2,0,,Amelanchier laevis
16,Amelanchier ovalis integrifolia,,Shrub,4.0,5-9,,LMH,SN,M,2,0,,Amelanchier laevis
17,Amelanchier pallida,Pale Serviceberry,Shrub,4.0,-,,LMH,SN,M,3,1,,Amelanchier laevis
18,Amelanchier parviflora,,Shrub,2.0,4-8,,LMH,N,M,2,0,2.0,Amelanchier laevis
19,Amelanchier sanguinea,"Roundleaf Serviceberry, Gaspé serviceberry",Shrub,3.0,4-8,,LMH,SN,DM,3,0,,Amelanchier laevis
20,Amelanchier spicata,,Shrub,2.0,4-8,,LMH,SN,M,3,0,,Amelanchier laevis
21,Amelanchier stolonifera,"Quebec Berry, Running serviceberry",Shrub,1.5,4-8,,LMH,SN,DM,5,1,0.0,Amelanchier laevis
22,Amelanchier utahensis,"Utah Serviceberry, Coville's serviceberry",Shrub,5.0,3-7,,LMH,SN,DM,3,1,2.0,Amelanchier laevis
23,Amelanchier weigandii,,Shrub,5.0,5-9,,LMH,SN,M,3,0,,Amelanchier laevis
