,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Atriplex argentea,"Silvery Orach, Silverscale saltbush, Stalked saltbush",Annual,0.5,0-0,,LM,N,M,2,2,2.0,Atriplex nummularia
1,Atriplex argentea expansa,Silverscale Saltbush,Annual,0.6,-,,LM,N,M,2,0,,Atriplex nummularia
2,Atriplex californica,"California Orach, California saltbush",Perennial,0.1,7-10,,LM,N,DM,3,0,,Atriplex nummularia
3,Atriplex canescens,"Grey Sage Brush, Fourwing saltbush",Shrub,1.8,6-9,,LM,N,DM,4,1,3.0,Atriplex nummularia
4,Atriplex carnosa,Thickleaf Orach,Annual,0.9,-,,LM,N,DM,2,0,,Atriplex nummularia
5,Atriplex confertifolia,"Shadscale, Shadscale saltbush",Shrub,1.8,6-9,,LM,N,DM,4,1,0.0,Atriplex nummularia
6,Atriplex coronata,Crownscale,Annual,0.4,-,,LM,N,DM,2,0,,Atriplex nummularia
7,Atriplex dimorphostegia,,Annual,0.2,-,,LM,N,DM,2,0,,Atriplex nummularia
8,Atriplex elegans,Wheelscale Saltbush,Annual,0.2,0-0,,LM,N,DM,2,0,0.0,Atriplex nummularia
9,Atriplex glabriuscula,"Scotland orache, Maritime saltbush, Frankton's saltbush, Northeastern saltbush",Annual,0.3,0-0,,LM,N,DM,2,0,,Atriplex nummularia
10,Atriplex gmelinii,Gmelin's saltbush,Annual,0.5,0-0,,LM,N,DM,2,0,,Atriplex nummularia
11,Atriplex halimus,"Sea Orach, Saltbush",Shrub,2.0,7-10,M,LM,N,DM,5,1,3.0,Atriplex nummularia
12,Atriplex hastata,Hastate Orach,Annual,0.8,0-0,,LM,N,DM,3,0,2.0,Atriplex nummularia
13,Atriplex hortensis,"Orach, Garden orache",Annual,1.8,5-9,F,LM,N,M,4,2,3.0,Atriplex nummularia
14,Atriplex lapathifolia,,Annual,0.9,-,,LM,N,DM,3,0,,Atriplex nummularia
15,Atriplex lentiformis,"Quail Bush, Big saltbush, Quailbush,",Shrub,3.0,7-10,,LM,N,DM,3,1,2.0,Atriplex nummularia
16,Atriplex maximowicziana,Maximowicz's saltbush,Perennial,0.8,0-0,,LM,N,DM,2,0,,Atriplex nummularia
17,Atriplex mucronata,,Annual,0.4,-,,LMH,N,DM,2,0,,Atriplex nummularia
18,Atriplex nuttallii,Nuttall's Saltbush,Shrub,0.9,5-9,,LM,N,DM,4,0,0.0,Atriplex nummularia
19,Atriplex patula,"Spreading Orach, Spear saltbush",Annual,0.8,0-0,,LM,N,M,3,1,,Atriplex nummularia
20,Atriplex powellii,Powell's Saltweed,Annual,1.5,-,,LM,N,DM,2,0,,Atriplex nummularia
21,Atriplex saccaria,Sack Saltbush,Annual,0.3,-,,LM,N,DM,2,0,,Atriplex nummularia
22,Atriplex semibaccata,"Australian Saltbush. Australian saltbush, Creeping saltbush",Shrub,0.5,9-11,F,LMH,N,DM,2,0,3.0,Atriplex nummularia
23,Atriplex serenana,"Bractscale, Davidson's bractscale",Annual,3.0,7-10,,LM,N,DM,2,0,,Atriplex nummularia
24,Atriplex subcordata,,Annual,0.5,-,,LM,N,DM,2,0,,Atriplex nummularia
25,Atriplex tatarica,Tatarian orache,Annual,1.5,0-0,,LM,N,DM,2,0,,Atriplex nummularia
