,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Hypochoeris scorzonerae,,Perennial,0.0,-,,LMH,N,DM,1,1,,Scorzonera austriaca
1,Reichardia picroides,"French Scorzonera, Common brighteyes",Perennial,0.5,7-10,,LMH,SN,M,5,0,,Scorzonera austriaca
2,Scorzonera acanthoclada,Teke-Saghyz,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera austriaca
3,Scorzonera albicaulis,,Perennial,0.3,-,,LMH,N,DM,2,0,2.0,Scorzonera austriaca
4,Scorzonera crocifolia,,Perennial,0.5,-,,LMH,N,DM,1,0,,Scorzonera austriaca
5,Scorzonera divaricata,,Perennial,0.0,-,,LMH,N,DM,2,0,2.0,Scorzonera austriaca
6,Scorzonera hispanica,Scorzonera,Perennial,1.0,5-9,,LMH,SN,M,4,0,1.0,Scorzonera austriaca
7,Scorzonera hissaricata,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera austriaca
8,Scorzonera mollis,,Perennial,0.3,5-9,,LMH,N,DM,2,0,,Scorzonera austriaca
9,Scorzonera mongolica,,Perennial,0.0,-,,LMH,N,DM,2,0,,Scorzonera austriaca
10,Scorzonera papposa,,Perennial,0.3,-,,LMH,N,DM,2,0,,Scorzonera austriaca
11,Scorzonera parviflora,,Biennial/Perennial,0.6,-,,LMH,N,DM,1,0,,Scorzonera austriaca
12,Scorzonera ptilophora,,Perennial,0.0,-,,LMH,N,DM,2,0,,Scorzonera austriaca
13,Scorzonera racemosa,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera austriaca
14,Scorzonera schweinfurthii,,Perennial,0.0,-,,LMH,N,DM,1,0,,Scorzonera austriaca
15,Scorzonera tau-saghyz,Tau-Saghyz,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera austriaca
16,Scorzonera tragapogonoides,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera austriaca
17,Scorzonera tuberosa,,Perennial,0.1,-,,LMH,N,DM,1,0,,Scorzonera austriaca
18,Scorzonera turkestanica,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera austriaca
19,Scorzonera undulata,,Perennial,0.3,-,,LMH,N,DM,2,0,,Scorzonera austriaca
20,Scorzonera undulata deliciosa,,Perennial,0.3,-,,LMH,N,DM,3,0,,Scorzonera austriaca
