,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Amaranthus albus,Prostrate Pigweed,Annual,0.7,8-10,,LMH,N,M,2,0,1,Amaranthus torreyi
1,Amaranthus bidentata,,Annual,0.9,-,,LMH,N,M,2,1,1,Amaranthus torreyi
2,Amaranthus blitoides,Mat Amaranth,Annual,0.2,6-10,,LMH,N,M,2,0,1,Amaranthus torreyi
3,Amaranthus blitum,"Slender Amaranth, Purple amaranth",Annual,1.0,4-8,,LMH,N,M,4,2,2,Amaranthus torreyi
4,Amaranthus campestris,,Annual,0.0,-,,LMH,N,M,2,1,1,Amaranthus torreyi
5,Amaranthus caudatus,Love Lies Bleeding,Annual,2.0,4-8,,LMH,N,DM,4,1,2,Amaranthus torreyi
6,Amaranthus cruentus,"Purple Amaranth, Red amaranth",Annual,2.0,3-11,,LMH,N,M,4,2,2,Amaranthus torreyi
7,Amaranthus diacanthus,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
8,Amaranthus dubius,Spleen Amaranth,Annual,1.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
9,Amaranthus frumentaceus,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
10,Amaranthus graecizans,"Spreading Pigweed, Mediterranean amaranth",Annual,0.5,0-0,,LMH,N,M,2,0,1,Amaranthus torreyi
11,Amaranthus hybridus,"Rough Pigweed, Slim amaranth",Annual,2.0,6-12,,LMH,N,M,4,1,1,Amaranthus torreyi
12,Amaranthus hypochondriacus,"Prince's Feather, Prince-of-wales feather",Annual/Perennial,1.2,3-10,,LMH,N,M,4,3,2,Amaranthus torreyi
13,Amaranthus mangostanus,,Annual,1.5,-,,LMH,N,M,2,0,1,Amaranthus torreyi
14,Amaranthus mitchellii,Boggabri Weed,Annual,0.5,-,,LMH,N,M,2,0,1,Amaranthus torreyi
15,Amaranthus pallidiflorus,,Annual,1.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
16,Amaranthus palmeri,Careless Weed,Annual,0.9,7-12,,LMH,N,M,2,0,1,Amaranthus torreyi
17,Amaranthus polygamus,,Annual,0.0,-,,LMH,N,M,2,1,1,Amaranthus torreyi
18,Amaranthus polystachyus,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
19,Amaranthus powellii,Powell's Amaranth,Annual,1.8,6-11,,LMH,N,M,2,0,1,Amaranthus torreyi
20,Amaranthus quitensis,Ataco,Annual,1.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
21,Amaranthus retroflexus,"Pigweed, Redroot amaranth, Wild Beet",Annual,0.9,3-11,,LMH,N,M,3,2,2,Amaranthus torreyi
22,Amaranthus spinosus,Spiny Amaranth,Annual,0.6,4-11,,LMH,N,M,2,3,1,Amaranthus torreyi
23,Amaranthus standleyanus,Indehiscent Pigweed,Annual,0.7,-,,LMH,N,M,2,0,1,Amaranthus torreyi
24,Amaranthus tenuifolius,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus torreyi
25,Amaranthus thunbergii,"Thunberg's Pigweed, Thunberg's amaranthus",Annual,0.5,0-0,,LMH,N,M,2,0,1,Amaranthus torreyi
26,Amaranthus tricolor,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",Annual,1.0,3-11,M,LMH,N,M,3,1,2,Amaranthus torreyi
