,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Erythronium albidum,"White Trout-Lily, White fawnlily",Bulb,0.1,4-8,,LM,S,M,3,0,,Erythronium oregonum
1,Erythronium albidum mesochoreum,Prairie Trout Lily,Bulb,0.1,4-8,,LM,S,M,3,0,,Erythronium oregonum
2,Erythronium americanum,"Trout Lily, Dogtooth violet",Bulb,0.2,3-7,,LM,S,M,4,1,3.0,Erythronium oregonum
3,Erythronium californicum,"Fawn Lily, California fawnlily",Bulb,0.3,0-0,,LM,S,M,2,0,,Erythronium oregonum
4,Erythronium citrinum,"Pale Fawn Lily, Cream fawnlily, Roderick's fawnlily",Bulb,0.3,0-0,,LM,S,M,2,0,,Erythronium oregonum
5,Erythronium dens-canis,Dog's-Tooth Violet,Bulb,0.2,3-7,,LM,S,M,3,0,,Erythronium oregonum
6,Erythronium grandiflorum,"Avalanche Lily, Yellow avalanche-lily",Bulb,0.2,4-8,,LM,S,DM,3,1,,Erythronium oregonum
7,Erythronium helenae,"Mt. St. Helena Fawm Lily, Pacific fawnlily",Bulb,0.3,4-8,,LM,S,M,2,0,,Erythronium oregonum
8,Erythronium hendersonii,Henderson's Fawn Lily,Bulb,0.3,0-0,,LM,S,M,2,0,,Erythronium oregonum
9,Erythronium howellii,Howell's Fawn Lily,Bulb,0.3,-,,LM,S,M,2,0,,Erythronium oregonum
10,Erythronium japonicum,Katakuri,Bulb,0.2,-,,LM,S,M,4,0,,Erythronium oregonum
11,Erythronium montanum,"Avelanche Lily, White avalanche-lily",Bulb,0.3,0-0,,LM,S,M,2,0,,Erythronium oregonum
12,Erythronium multiscapideum,Adderstongue,Bulb,0.3,-,,LM,S,M,2,0,,Erythronium oregonum
13,Erythronium purpurascens,"Avelanche Lily, Purple fawnlily",Bulb,0.3,0-0,,LM,S,M,2,0,,Erythronium oregonum
14,Erythronium revolutum,"Pink Fawn Lily, Mahogany fawnlily",Bulb,0.3,4-8,,LM,S,M,3,0,,Erythronium oregonum
