,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Alisma plantago-aquatica,"Great Water Plantain, ZE-XIE, European water plantain, American water plantain, Northern water plan",Perennial,0.9,5-9,,LMH,N,WeWa,1,3,,Plantago ovata
1,Plantago affra,Psyllium,Annual,0.6,-,,LMH,N,DM,1,3,,Plantago ovata
2,Plantago amplexicaulis,,Annual,0.1,-,,LMH,N,DM,1,2,,Plantago ovata
3,Plantago arenaria,French Psyllium,Annual,0.3,-,,LMH,N,DM,1,3,,Plantago ovata
4,Plantago asiatica,Che Qian Zi,Perennial,0.5,5-9,,LMH,SN,M,1,3,2.0,Plantago ovata
5,Plantago australis,Mexican Plantain,Perennial,0.2,-,,LMH,N,M,1,2,,Plantago ovata
6,Plantago camtschatica,,Perennial,0.3,-,,LM,N,DM,1,2,,Plantago ovata
7,Plantago coronopus,Buck's-Horn Plantain,Annual/Perennial,0.3,5-9,,LM,N,DM,3,2,2.0,Plantago ovata
8,Plantago crassifolia,,Perennial,0.2,-,,LMH,N,M,1,2,,Plantago ovata
9,Plantago cunninghamii,,,0.0,-,,LMH,SN,M,0,0,,Plantago ovata
10,Plantago debilis,,Perennial,0.4,-,,LMH,SN,M,0,0,,Plantago ovata
11,Plantago decipiens,,Perennial,0.2,-,,LMH,N,DM,1,2,,Plantago ovata
12,Plantago depressa,,Perennial,0.0,-,,LMH,SN,M,1,2,,Plantago ovata
13,Plantago hakusanensis,,Perennial,0.1,-,,LMH,N,M,1,2,,Plantago ovata
14,Plantago juncoides,,Perennial,0.0,-,,LMH,N,DM,1,2,,Plantago ovata
15,Plantago lanceolata,"Ribwort Plantain, Narrowleaf plantain",Perennial,0.5,5-9,,LMH,N,DM,2,3,3.0,Plantago ovata
16,Plantago major,"Common Plantain, Cart Track Plant,White Man's Foot ,Plantain",Perennial,0.1,3-12,M,LMH,N,M,2,3,3.0,Plantago ovata
17,Plantago maritima,"Sea Plantain, Goose tongue, California goose tongue",Perennial,0.2,5-9,,LMH,N,M,3,2,2.0,Plantago ovata
18,Plantago media,Hoary Plantain,Perennial,0.1,5-9,,LMH,N,DM,2,2,2.0,Plantago ovata
19,Plantago oliganthus,,Perennial,0.2,-,,LMH,N,M,1,2,,Plantago ovata
20,Plantago psyllium,Fleawort,Annual,0.6,-,,LMH,N,DM,2,3,1.0,Plantago ovata
