,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Clematis alternata,,Climber,4.0,-,,LMH,SN,M,0,1,,Clematis recta
1,Clematis apiifolia,,Climber,5.0,6-9,F,LMH,SN,M,1,2,,Clematis recta
2,Clematis barbellata,,Climber,4.0,-,,LMH,SN,M,0,2,,Clematis recta
3,Clematis brachyura,,Climber,1.0,5-9,,LMH,SN,M,1,0,,Clematis recta
4,Clematis buchananiana,,Climber,6.0,6-9,F,LMH,SN,M,1,2,,Clematis recta
5,Clematis chinensis,Wei Ling Xian,Climber,5.0,5-9,,LMH,SN,M,1,2,,Clematis recta
6,Clematis columbiana,Rock Clematis,Climber,3.0,4-8,,LMH,SN,M,0,1,1.0,Clematis recta
7,Clematis connata,,Climber,7.0,5-9,F,LMH,SN,M,0,1,,Clematis recta
8,Clematis douglasii,Hairy Clematis,Perennial,0.6,5-9,,LMH,SN,M,0,1,1.0,Clematis recta
9,Clematis flammula,"Fragrant Virgin's Bower, Fragrant clematis",Climber,4.0,5-9,F,LMH,SN,M,1,0,3.0,Clematis recta
10,Clematis ianthina,,Climber,4.0,4-8,,LMH,SN,M,1,0,,Clematis recta
11,Clematis ligusticifolia,"White Clematis, Western white clematis, California clematis,",Climber,5.0,4-8,,LMH,SN,M,0,2,1.0,Clematis recta
12,Clematis mandschurica,,Perennial,1.2,6-9,,LMH,SN,M,0,2,,Clematis recta
13,Clematis microphylla,Headachevine,Climber,3.0,8-11,,LMH,SN,M,0,1,,Clematis recta
14,Clematis orientalis,Oriental virginsbower,Climber,4.0,5-9,,LMH,SN,M,0,1,1.0,Clematis recta
15,Clematis patens,,Climber,4.0,5-9,,LMH,SN,M,1,0,,Clematis recta
16,Clematis pierotii,,Climber,3.0,5-9,,LMH,SN,M,1,0,,Clematis recta
17,Clematis serratifolia,,Climber,3.0,5-9,,LMH,SN,M,1,0,,Clematis recta
18,Clematis terniflora,"Sennin-So, Sweet autumn virginsbower, Sweet Autumn Clematis, Fall Clematis",Perennial Climber,5.0,5-9,F,LMH,SN,M,1,1,1.0,Clematis recta
19,Clematis tibetana,,Climber,4.0,5-9,,LMH,SN,M,0,2,,Clematis recta
20,Clematis trichotoma,,Climber,5.0,-,,LMH,SN,M,1,0,,Clematis recta
