,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Dalbergia baronii,"Palissandre rouge des marais, hitsika, sovodrano",Tree,20.0,10-12,M,LM,N,Mwe,0,0,4,Dalbergia latifolia
1,Dalbergia cochinchinensis,"Siam Rosewood, Thailand Rosewood",Tree,25.0,10-12,S,LMH,N,M,0,0,4,Dalbergia latifolia
2,Dalbergia greveana,Madagascar Rosewood,Tree,15.0,10-12,S,LMH,N,DM,0,2,4,Dalbergia latifolia
3,Dalbergia hupeana,,Tree,15.0,-,,LMH,SN,M,1,1,3,Dalbergia latifolia
4,Dalbergia louvelii,"Andramena, Volombodipona, Violet rosewood",Tree,15.0,10-12,M,LMH,N,M,0,2,4,Dalbergia latifolia
5,Dalbergia melanoxylon,"African Blackwood, Grenadilla, Mpingo",Tree,6.0,10-12,S,LMH,N,DM,0,2,5,Dalbergia latifolia
6,Dalbergia monticola,"Hazovola, tsiandalana, voamboana",Tree,12.0,10-12,S,LMH,N,M,0,0,4,Dalbergia latifolia
7,Dalbergia nigra,Brazilian Rosewood,Tree,20.0,10-12,M,LMH,N,DM,0,0,4,Dalbergia latifolia
8,Dalbergia oliveri,Redwood,Tree,23.0,10-12,S,LMH,SN,M,0,0,4,Dalbergia latifolia
9,Dalbergia retusa,Cocobolo,Tree,20.0,10-12,S,LMH,N,M,0,0,4,Dalbergia latifolia
