,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Juglans ailanthifolia,Japanese Walnut,Tree,20.0,4-8,,LMH,N,M,3,1,5,Juglans cathayensis
1,Juglans ailanthifolia cordiformis,Heartseed Walnut,Tree,20.0,4-8,M,LMH,N,M,4,1,4,Juglans cathayensis
2,Juglans californica,"California Walnut, Southern California walnut",Tree,6.0,7-10,M,LMH,N,M,2,1,2,Juglans cathayensis
3,Juglans cinerea,"Butternut - White Walnut, Butternut",Tree,25.0,3-7,M,LMH,N,M,3,3,3,Juglans cathayensis
4,Juglans hindsii,"Hind's Black Walnut, Northern California walnut, Paradox hybrid walnut",Tree,15.0,8-9,M,LMH,N,M,3,0,3,Juglans cathayensis
5,Juglans intermedia,"Hind's Black Walnut, Northern California walnut, Paradox hybrid walnuH",Tree,30.0,4-8,,LMH,N,M,3,0,1,Juglans cathayensis
6,Juglans major,Arizona Walnut,Tree,15.0,8-11,F,LMH,N,M,2,0,2,Juglans cathayensis
7,Juglans mandschurica,Manchurian Walnut,Tree,20.0,4-8,,LMH,N,M,3,1,4,Juglans cathayensis
8,Juglans microcarpa,"Texas Walnut, Little walnut, Stewart's little walnut",Tree,10.0,5-9,,LMH,N,M,2,0,3,Juglans cathayensis
9,Juglans neotropica,Andean Walnut,Tree,25.0,10-12,S,LMH,N,M,3,2,4,Juglans cathayensis
10,Juglans nigra,Black Walnut,Tree,30.0,4-9,F,LMH,N,M,3,3,4,Juglans cathayensis
11,Juglans olanchana,"Olancho walnut, Central American walnut",Tree,45.0,10-12,M,LMH,SN,MWe,2,0,3,Juglans cathayensis
12,Juglans regia,"Walnut, English walnut, Persian Walnut,",Tree,20.0,7-9,M,LMH,N,M,4,3,4,Juglans cathayensis
13,Juglans regia fallax,Walnut,Tree,30.0,4-8,,LMH,N,M,3,0,1,Juglans cathayensis
14,Juglans regia kamaonia,Walnut,Tree,30.0,4-8,,LMH,N,M,3,3,3,Juglans cathayensis
15,Juglans sinensis,,Tree,20.0,-,,LMH,N,M,3,1,1,Juglans cathayensis
