,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Celtis australis,"Nettle Tree, European hackberry",Tree,20.0,5-9,M,LM,N,DM,3,2,2.0,Celtis caucasica
1,Celtis boninensis,,Tree,0.0,-,,LM,N,DM,2,0,,Celtis caucasica
2,Celtis bungeana,Bunge's hackberry,Tree,10.0,4-8,,LM,N,DM,2,0,,Celtis caucasica
3,Celtis glycycarpa,,Tree,0.0,-,,LM,N,DM,2,0,,Celtis caucasica
4,Celtis jessoensis,,Tree,15.0,5-9,,LM,N,DM,2,0,,Celtis caucasica
5,Celtis koraiensis,,Tree,12.0,4-8,,LM,N,DM,2,0,,Celtis caucasica
6,Celtis laevigata,"Sugarberry, Netleaf hackberry, Texan sugarberry, Sugar Hackberry",Tree,18.0,5-10,M,LMH,N,DM,2,1,3.0,Celtis caucasica
7,Celtis laveillei,,Tree,0.0,-,,LM,N,DM,2,0,,Celtis caucasica
8,Celtis lindheimeri,"Palo Blanco, Lindheimer's hackberry",Tree,10.0,0-0,,LM,N,DM,2,0,1.0,Celtis caucasica
9,Celtis occidentalis,"Hackberry, Common hackberry",Tree,20.0,3-9,F,LM,N,DM,3,1,2.0,Celtis caucasica
10,Celtis pallida,Desert Hackberry,Tree,5.5,-,,LM,N,DM,2,0,3.0,Celtis caucasica
11,Celtis reticulata,"Paloblanco, Netleaf hackberry",Tree,12.0,5-9,S,LM,N,DM,2,1,2.0,Celtis caucasica
12,Celtis sinensis,Chinese hackberry,Tree,10.0,8-11,M,LM,N,DM,2,1,,Celtis caucasica
13,Celtis tenuifolia,"Small Hackberry, Dwarf hackberry",Tree,4.5,5-9,,LM,N,DM,2,0,2.0,Celtis caucasica
14,Celtis tetrandra,,Tree,20.0,-,,LM,N,DM,2,1,2.0,Celtis caucasica
15,Celtis tournefortii,Oriental hackberry,Tree,8.0,6-9,,LM,N,DM,2,0,,Celtis caucasica
