,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Gaultheria adenothrix,,Shrub,0.3,8-11,,LM,FS,M,3,0,4.0,Gaultheria macrostigma
1,Gaultheria antipoda,Snowberry,Shrub,1.2,8-11,,LM,FS,M,2,0,,Gaultheria macrostigma
2,Gaultheria appressa,White Waxberry,Shrub,2.0,-,,LM,SN,M,2,0,,Gaultheria macrostigma
3,Gaultheria cumingiana,,Shrub,3.0,9-11,,LM,S,M,2,2,,Gaultheria macrostigma
4,Gaultheria depressa,Mountain Snowberry,Shrub,0.1,8-11,,LM,SN,M,2,0,3.0,Gaultheria macrostigma
5,Gaultheria fragrantissima,Fragrant Wintergreen,Shrub,1.0,8-11,,LM,FS,M,2,2,2.0,Gaultheria macrostigma
6,Gaultheria griffithianum,,Shrub,1.8,-,,LM,SN,M,2,0,,Gaultheria macrostigma
7,Gaultheria hispida,Snowberry,Shrub,0.9,8-11,,LM,S,M,2,1,,Gaultheria macrostigma
8,Gaultheria hispidula,Creeping Snowberry,Shrub,0.1,5-9,F,LM,S,MWe,4,1,4.0,Gaultheria macrostigma
9,Gaultheria humifusa,"Alpine Wintergreen, Alpine spicywintergreen",Shrub,0.1,6-9,,LM,SN,M,4,0,3.0,Gaultheria macrostigma
10,Gaultheria insana,,Shrub,0.5,5-9,,LMH,SN,M,1,1,,Gaultheria macrostigma
11,Gaultheria japonica,Creeping Snowberry,Shrub,0.1,5-9,F,LM,S,MWe,4,1,3.0,Gaultheria macrostigma
12,Gaultheria mucronata,Prickly heath,Shrub,1.5,5-9,,LM,SN,M,4,0,3.0,Gaultheria macrostigma
13,Gaultheria myrsinoides,,Shrub,0.2,8-11,,LM,SN,M,2,0,3.0,Gaultheria macrostigma
14,Gaultheria nummularioides,,Shrub,0.1,8-11,,LM,SN,M,2,0,3.0,Gaultheria macrostigma
15,Gaultheria ovatifolia,"Mountain Checkerberry, Western teaberry",Shrub,0.2,5-9,,LM,FS,M,3,0,3.0,Gaultheria macrostigma
16,Gaultheria procumbens,"Checkerberry, Eastern teaberry, Teaberry, Creeping Wintergreen",Shrub,0.2,3-6,M,LM,FS,DM,4,3,4.0,Gaultheria macrostigma
17,Gaultheria pumila,,Shrub,0.1,6-9,S,LM,SN,M,2,0,,Gaultheria macrostigma
18,Gaultheria pumila leucocarpa,,Shrub,0.2,6-9,,LM,SN,M,2,0,3.0,Gaultheria macrostigma
19,Gaultheria pyroliifolia,,Shrub,0.2,5-9,S,LM,FS,M,2,0,,Gaultheria macrostigma
20,Gaultheria pyroloides,,Shrub,0.3,5-9,,LM,S,M,3,0,,Gaultheria macrostigma
21,Gaultheria rigida,,Shrub,0.0,-,,LM,FS,M,1,0,,Gaultheria macrostigma
22,Gaultheria sclelophylla,,Shrub,0.0,-,,LM,FS,M,2,0,,Gaultheria macrostigma
23,Gaultheria shallon,"Shallon, Salal",Shrub,1.2,6-9,M,LM,FSN,DM,5,2,3.0,Gaultheria macrostigma
24,Gaultheria trichophylla,,Shrub,0.1,7-10,,LM,SN,M,2,0,3.0,Gaultheria macrostigma
