,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Fraxinus americana,White Ash,Tree,25.0,4-9,F,LMH,SN,DM,1,2,4.0,Fraxinus texensis
1,Fraxinus angustifolia,Narrow-Leaved Ash,Tree,25.0,5-9,,LMH,N,DM,1,0,,Fraxinus texensis
2,Fraxinus bungeana,Xiao Ye Qin,Shrub,5.0,4-8,,LMH,N,DM,0,2,2.0,Fraxinus texensis
3,Fraxinus chinensis rhynchophylla,Hua Qu Liu,Tree,25.0,5-9,,LMH,N,M,0,2,2.0,Fraxinus texensis
4,Fraxinus excelsior,"Ash, European ash, Common Ash",Tree,30.0,5-8,F,LMH,N,MWe,2,2,3.0,Fraxinus texensis
5,Fraxinus floribunda,Himalayan Ash,Tree,40.0,7-10,,LMH,N,M,2,2,2.0,Fraxinus texensis
6,Fraxinus hookeri,,Tree,0.0,-,,LMH,N,M,0,0,1.0,Fraxinus texensis
7,Fraxinus latifolia,Oregon Ash,Tree,20.0,5-9,,LMH,N,M,0,1,3.0,Fraxinus texensis
8,Fraxinus longicuspis,,Tree,8.0,5-9,,LMH,N,M,0,1,1.0,Fraxinus texensis
9,Fraxinus nigra,Black Ash,Tree,25.0,2-5,M,LMH,N,MWe,0,1,3.0,Fraxinus texensis
10,Fraxinus ornus,"Manna Ash, Flowering ash",Tree,9.0,5-6,S,LMH,N,DM,3,3,,Fraxinus texensis
11,Fraxinus pennsylvanica,"Red Ash, Green ash, Water Ash",Tree,20.0,3-9,F,LMH,N,M,1,1,3.0,Fraxinus texensis
12,Fraxinus quadrangulata,Blue Ash,Tree,20.0,4-8,M,LMH,N,M,0,0,3.0,Fraxinus texensis
13,Fraxinus sieboldiana,Ash,Tree,8.0,6-9,M,LMH,N,M,0,0,2.0,Fraxinus texensis
14,Fraxinus velutina,"Arizona Ash, Velvet ash, Modesto Ash, Fantex Ash",Tree,12.0,7-10,F,LMH,N,M,0,0,3.0,Fraxinus texensis
