,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Asclepias asperula,"Antelope Horns, Spider milkweed, Trailing Milkweed",Perennial,1.0,7-9,M,LM,SN,DM,2,1,3,Asclepias brachystephana
1,Asclepias californica,"California Milkweed, Greene's milkweed",Perennial,0.5,0-0,,L,SN,DM,2,1,2,Asclepias brachystephana
2,Asclepias currasavica,Blood Flower,Perennial,2.0,10-12,F,LMH,N,M,0,1,2,Asclepias brachystephana
3,Asclepias decumbens,,Perennial,0.9,-,,L,SN,DM,2,0,2,Asclepias brachystephana
4,Asclepias eriocarpa,Woollypod Milkweed,Perennial,0.9,7-10,,L,SN,DM,2,2,3,Asclepias brachystephana
5,Asclepias erosa,Desert Milkweed,Perennial,0.8,0-0,,L,N,DM,2,0,3,Asclepias brachystephana
6,Asclepias galioides,Bedstraw Milkweed,Perennial,0.4,-,,L,SN,DM,2,1,2,Asclepias brachystephana
7,Asclepias hallii,"Purple Silkweed, Hall's milkweed",Perennial,1.0,3-7,,LM,SN,DM,3,1,3,Asclepias brachystephana
8,Asclepias incarnata,"Swamp Milkweed, Swamp Butterfly Weed, Marsh Milkweed",Perennial,1.2,3-8,M,LM,SN,DMWe,3,2,3,Asclepias brachystephana
9,Asclepias involucrata,Dwarf Milkweed,Perennial,0.0,-,,L,SN,DM,2,1,2,Asclepias brachystephana
10,Asclepias lanceolata,"Purple Silkweed, Fewflower milkweed",Perennial,1.2,4-8,,LM,SN,DM,2,1,3,Asclepias brachystephana
11,Asclepias latifolia,Broadleaf Milkweed,Perennial,0.8,-,,L,SN,DM,0,1,2,Asclepias brachystephana
12,Asclepias mexicana,,Perennial,0.8,5-9,,L,SN,DM,1,0,2,Asclepias brachystephana
13,Asclepias ovalifolia,Oval-leaf milkweed,Perennial,0.6,5-9,,LM,SN,DM,2,0,3,Asclepias brachystephana
14,Asclepias pumila,"Low Milkweed, Plains milkweed",Perennial,0.4,5-9,,LM,SN,DM,2,1,3,Asclepias brachystephana
15,Asclepias purpurascens,Purple Milkweed,Perennial,0.8,-,,LM,SN,DM,2,1,3,Asclepias brachystephana
16,Asclepias quadrifolia,Fourleaf Milkweed,Perennial,0.5,4-8,,LM,SN,DM,2,2,3,Asclepias brachystephana
17,Asclepias rubra,Red Silkweed,Perennial,1.2,4-8,,LM,SN,DM,3,1,3,Asclepias brachystephana
18,Asclepias speciosa,Showy Milkweed,Perennial,0.8,3-9,,LM,SN,DM,3,2,3,Asclepias brachystephana
19,Asclepias subulata,Rush Milkweed,Perennial,2.0,5-9,,L,SN,DM,0,1,3,Asclepias brachystephana
20,Asclepias sullivantii,Prairie milkweed,Perennial,1.2,0-0,,L,SN,DM,0,0,3,Asclepias brachystephana
21,Asclepias syriaca,"Common Milkweed, Silkweed, Milkweed",Perennial,1.0,3-8,M,LM,SN,DM,3,2,3,Asclepias brachystephana
22,Asclepias tuberosa,"Pleurisy Root, Butterfly milkweed, Rolfs' milkweed, Indian Paintbrush",Perennial,0.8,3-9,M,LM,SN,DM,3,3,4,Asclepias brachystephana
