,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Pedicularis arctica,Arctic lousewort,Perennial,0.0,0-0,,LMH,SN,M,1,0,,Pedicularis resupinata
1,Pedicularis bicornuta,,Perennial,0.0,-,,LMH,SN,M,0,1,,Pedicularis resupinata
2,Pedicularis canadensis,Common Lousewort,Perennial,0.4,3-7,,LM,SN,M,1,2,,Pedicularis resupinata
3,Pedicularis gloriosa,,Perennial,0.8,-,,LM,SN,M,1,0,,Pedicularis resupinata
4,Pedicularis hirsuta,Hairy lousewort,Perennial,0.1,0-0,,LM,SN,M,1,0,,Pedicularis resupinata
5,Pedicularis kanei,,Perennial,0.0,-,,LM,SN,DM,2,0,,Pedicularis resupinata
6,Pedicularis lanceolata,Swamp Lousewort,Perennial,1.0,-,,LM,SN,M,1,0,,Pedicularis resupinata
7,Pedicularis langsdorffii,"Lousewort, Langsdorf's lousewort, Arctic lousewort",Perennial,0.0,0-0,,LM,SN,M,1,0,,Pedicularis resupinata
8,Pedicularis longiflora tubiformis,,Annual,0.2,-,,LMH,SN,M,0,2,,Pedicularis resupinata
9,Pedicularis oliveriana,,Perennial,0.5,-,,LMH,SN,M,0,2,,Pedicularis resupinata
10,Pedicularis pyramidata,,Perennial,0.0,-,,LMH,SN,M,0,2,,Pedicularis resupinata
11,Pedicularis sceptrum carolinum,Lousewort,Perennial,1.2,-,,LMH,SN,M,1,1,,Pedicularis resupinata
