,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Scirpus acutus,Hard Stem Bulrush,Perennial,2.0,-,F,LMH,SN,MWeWa,3,1,2.0,Scirpus validus creber
1,Scirpus affinis,,Perennial,0.6,-,,LMH,SN,MWeWa,2,0,2.0,Scirpus validus creber
2,Scirpus americanus,American Bulrush,Perennial,0.6,-,,LMH,SN,MWeWa,2,0,2.0,Scirpus validus creber
3,Scirpus caldwellii,,Perennial,1.5,-,,LMH,SN,M,0,0,,Scirpus validus creber
4,Scirpus cyperinus,"Woolly Grass Bulrush, Woolgrass",Perennial,1.5,6-9,,LMH,SN,MWeWa,1,0,1.0,Scirpus validus creber
5,Scirpus fluviatilis,River Bulrush,Perennial,2.0,-,,LMH,SN,MWeWa,2,1,1.0,Scirpus validus creber
6,Scirpus lacustris,Bulrush,Perennial,2.5,4-8,,LMH,SN,MWeWa,3,1,2.0,Scirpus validus creber
7,Scirpus litoralis,Bulrush,Perennial,0.0,0-0,,LMH,SN,M,0,0,,Scirpus validus creber
8,Scirpus maritimus,Seaside Bulrush. Cosmopolitan Bulrush,Perennial,1.0,5-9,,LMH,N,MWeWa,3,1,2.0,Scirpus validus creber
9,Scirpus medianus,,Perennial,2.0,-,,LMH,SN,M,0,0,,Scirpus validus creber
10,Scirpus microcarpus,Panicled Bulrush,Perennial,1.5,-,,LMH,SN,MWeWa,3,1,1.0,Scirpus validus creber
11,Scirpus nevadensis,Nevada Bulrush,Perennial,0.3,-,,LMH,SN,MWeWa,2,0,1.0,Scirpus validus creber
12,Scirpus paludosus,Bayonet Grass,Perennial,0.5,-,,LMH,SN,MWeWa,2,0,,Scirpus validus creber
13,Scirpus subterminalis,Water Bulrush,Perennial,0.6,-,,LMH,SN,MWeWa,2,0,,Scirpus validus creber
14,Scirpus ternatus,,Perennial,1.0,-,,LMH,SN,MWeWa,1,0,,Scirpus validus creber
