,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Carex acutiformis,"Swamp Sedge, Lesser pond sedge",Perennial,0.8,0-0,,LMH,SN,MWe,1,0,,Carex elata
1,Carex aquatilis,"Water sedge, Sitka sedge",Perennial,1.0,3-7,,LMH,SN,MWe,1,0,,Carex elata
2,Carex arenaria,Sand Sedge,Perennial,0.5,6-9,F,LM,SN,DM,2,2,2.0,Carex elata
3,Carex brizoides,,Perennial,0.0,-,,LMH,SN,MWe,1,0,1.0,Carex elata
4,Carex buxbaumii,Buxbaum's sedge,Perennial,0.6,0-0,,LMH,SN,MWe,1,0,1.0,Carex elata
5,Carex dispalata,,Perennial,0.0,-,,LMH,SN,MWe,1,0,1.0,Carex elata
6,Carex disticha,Tworank sedge,Perennial,0.5,4-8,,LMH,SN,MWe,1,0,1.0,Carex elata
7,Carex eburnea,Bristleleaf sedge,Perennial,0.3,2-8,S,LMH,FS,DM,0,0,3.0,Carex elata
8,Carex hachijoensis,Japanese sedge,Perennial,0.3,5-9,M,LMH,FS,M,0,0,3.0,Carex elata
9,Carex hirta,Hammer sedge,Perennial,0.5,5-9,,LMH,SN,MWe,1,1,1.0,Carex elata
10,Carex kobomugi,Japanese sedge,Perennial,0.2,6-8,,LMH,SN,MWe,1,0,2.0,Carex elata
11,Carex macrocephala,Largehead sedge,Perennial,0.2,0-0,,LMH,SN,MWe,1,0,,Carex elata
12,Carex meyeriana,"Sedge, Wu la cao",Perennial,0.5,9-12,F,LMH,FSN,MWe,0,0,4.0,Carex elata
13,Carex morrowii,"Iwashiba, Japanese Sedge",Perennial,0.6,5-9,F,LMH,FSN,M,0,0,4.0,Carex elata
14,Carex nebrascensis,Nebraska sedge,Perennial,0.5,0-0,,LMH,SN,M,0,0,,Carex elata
15,Carex nubigena,,Perennial,0.0,-,,LMH,SN,MWe,1,1,,Carex elata
16,Carex paniculata,,Perennial,1.5,6-9,,LMH,SN,MWe,1,0,1.0,Carex elata
17,Carex pensylvanica,Pennsylvania sedge,Perennial,0.3,4-8,M,LMH,FSN,DM,0,0,3.0,Carex elata
18,Carex riparia,Great Pond Sedge,Perennial,1.5,5-9,F,LMH,SN,MWe,1,0,1.0,Carex elata
19,Carex rostrata,"Beaded Sedge, Beaked sedge",Perennial,1.0,0-0,,LMH,SN,MWe,1,0,1.0,Carex elata
20,Carex sylvatica,Wood sedge,Perennial,0.6,3-8,F,MH,SN,MWe,0,0,3.0,Carex elata
