,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Amelanchier alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",Shrub,4.0,4-6,M,LMH,SN,M,5,2,3.0,Amelanchier obovalis
1,Amelanchier alnifolia cusickii,Cusick's Serviceberry,Shrub,3.0,0-0,,LMH,SN,M,4,1,0.0,Amelanchier obovalis
2,Amelanchier alnifolia semiintegrifolia,Pacific Serviceberry,Shrub,3.0,0-0,S,LMH,SN,M,5,1,1.0,Amelanchier obovalis
3,Amelanchier arborea,"Downy Serviceberry, Alabama serviceberry, Juneberry, Common Serviceberry, Downy Serviceberry",Tree,10.0,5-8,S,LMH,SN,M,3,1,2.0,Amelanchier obovalis
4,Amelanchier asiatica,Korean Juneberry,Tree,8.0,4-8,,LMH,SN,M,3,0,,Amelanchier obovalis
5,Amelanchier bartramiana,Oblongfruit serviceberry,Shrub,3.0,4-8,,LMH,SN,M,3,0,0.0,Amelanchier obovalis
6,Amelanchier basalticola,Dwarf Service-berry,Shrub,3.0,4-8,,LMH,SN,M,4,0,0.0,Amelanchier obovalis
7,Amelanchier canadensis,"Juneberry, Canadian serviceberry, Serviceberry Downy, Shadblow, Shadbush, Serviceberry",Shrub,6.0,4-7,M,LMH,SN,M,4,1,4.0,Amelanchier obovalis
8,Amelanchier confusa,,Shrub,3.0,4-8,,LMH,SN,M,5,0,0.0,Amelanchier obovalis
9,Amelanchier humilis,Low serviceberry,Shrub,1.8,4-8,,LMH,SN,M,3,0,,Amelanchier obovalis
10,Amelanchier huroensis,,Tree,6.0,5-9,,LMH,SN,M,3,0,,Amelanchier obovalis
11,Amelanchier interior,Pacific serviceberry,Tree,9.0,5-9,,LMH,SN,M,3,0,,Amelanchier obovalis
12,Amelanchier intermedia,"June berry,",Shrub,6.0,4-8,,LMH,SN,M,3,0,0.0,Amelanchier obovalis
13,Amelanchier laevis,"Allegheny Shadberry, Allegheny serviceberry, Smooth Serviceberry",Shrub,9.0,5-8,M,LMH,SN,M,5,1,2.0,Amelanchier obovalis
14,Amelanchier lamarckii,Apple Serviceberry,Shrub,6.0,3-3,,LMH,SN,M,5,0,0.0,Amelanchier obovalis
15,Amelanchier ovalis,"Snowy Mespilus, Dwarf Garden Serviceberry",Shrub,5.0,5-7,S,LMH,N,M,2,0,,Amelanchier obovalis
16,Amelanchier ovalis integrifolia,,Shrub,4.0,5-9,,LMH,SN,M,2,0,,Amelanchier obovalis
17,Amelanchier pallida,Pale Serviceberry,Shrub,4.0,-,,LMH,SN,M,3,1,,Amelanchier obovalis
18,Amelanchier parviflora,,Shrub,2.0,4-8,,LMH,N,M,2,0,2.0,Amelanchier obovalis
19,Amelanchier sanguinea,"Roundleaf Serviceberry, Gaspé serviceberry",Shrub,3.0,4-8,,LMH,SN,DM,3,0,,Amelanchier obovalis
20,Amelanchier spicata,,Shrub,2.0,4-8,,LMH,SN,M,3,0,,Amelanchier obovalis
21,Amelanchier stolonifera,"Quebec Berry, Running serviceberry",Shrub,1.5,4-8,,LMH,SN,DM,5,1,0.0,Amelanchier obovalis
22,Amelanchier utahensis,"Utah Serviceberry, Coville's serviceberry",Shrub,5.0,3-7,,LMH,SN,DM,3,1,2.0,Amelanchier obovalis
23,Amelanchier weigandii,,Shrub,5.0,5-9,,LMH,SN,M,3,0,,Amelanchier obovalis
