,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Hemerocallis altissima,,Perennial,1.2,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
1,Hemerocallis aurantiaca,,Perennial,0.8,5-9,,LMH,SN,DM,4,1,2,Hemerocallis littorea
2,Hemerocallis bulbiferum,,Perennial,0.0,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
3,Hemerocallis citrina,Citron daylily,Perennial,0.8,4-8,,LMH,SN,DM,4,1,2,Hemerocallis littorea
4,Hemerocallis coreana,,Perennial,0.4,0-0,,LMH,SN,DM,4,1,1,Hemerocallis littorea
5,Hemerocallis darrowiana,Day Lily,Perennial,0.1,0-0,,LMH,SN,DM,4,1,2,Hemerocallis littorea
6,Hemerocallis dumortieri,Dumortier's daylily,Perennial,0.5,4-8,,LMH,SN,DM,4,1,3,Hemerocallis littorea
7,Hemerocallis exaltata,,Perennial,1.0,4-8,,LMH,SN,DM,4,1,1,Hemerocallis littorea
8,Hemerocallis forrestii,,Perennial,0.4,4-8,,LMH,SN,DM,2,1,1,Hemerocallis littorea
9,Hemerocallis fulva,"Common Day Lily, Orange daylily, Tawny Daylily, Double Daylily",Perennial,1.0,3-10,M,LMH,SN,DM,5,2,2,Hemerocallis littorea
10,Hemerocallis fulva longituba,,Perennial,1.0,4-8,,LMH,SN,DM,4,1,2,Hemerocallis littorea
11,Hemerocallis graminea,,Perennial,0.8,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
12,Hemerocallis hakunensis,,Perennial,0.8,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
13,Hemerocallis lilioasphodelus,Yellow Day Lily,Perennial,0.6,4-8,,LMH,SN,DM,4,2,2,Hemerocallis littorea
14,Hemerocallis micrantha,,Perennial,0.8,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
15,Hemerocallis middendorffii,"Amur daylily, Middendorf, Daylily",Perennial,0.9,4-8,M,LMH,SN,DM,5,1,2,Hemerocallis littorea
16,Hemerocallis middendorffii esculenta,,Perennial,0.5,4-8,,LMH,SN,DM,5,1,3,Hemerocallis littorea
17,Hemerocallis minor,"Grassleaf Day Lily, Small daylily",Perennial,0.5,4-8,,LMH,SN,DM,4,1,2,Hemerocallis littorea
18,Hemerocallis multiflora,,Perennial,1.0,4-8,,LMH,SN,DM,4,1,1,Hemerocallis littorea
19,Hemerocallis pedicellata,,Perennial,0.9,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
20,Hemerocallis plicata,,Perennial,0.5,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
21,Hemerocallis species,,Perennial,1.2,-,,LMH,SN,DM,4,1,1,Hemerocallis littorea
22,Hemerocallis thunbergii,,Perennial,0.5,4-8,,LMH,SN,DM,4,1,2,Hemerocallis littorea
