,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Cardamine amara,Large Bittercress,Perennial,0.6,4-8,,LMH,SN,M,3,1,,Cardamine flexuosa
1,Cardamine amaraeformis,,Annual,0.0,-,,LMH,SN,M,2,0,,Cardamine flexuosa
2,Cardamine bonariensis,,Annual,0.0,-,,LMH,SN,M,2,0,,Cardamine flexuosa
3,Cardamine bulbifera,"Coral Root, Coralroot bittercress",Perennial,0.5,4-8,,LMH,SN,M,2,0,,Cardamine flexuosa
4,Cardamine bulbosa,Bulbous Bittercress,Perennial,0.5,4-8,,LMH,SN,MWe,2,0,,Cardamine flexuosa
5,Cardamine debilis,Roadside bittercress,Perennial,0.3,0-0,,LMH,SN,M,2,0,,Cardamine flexuosa
6,Cardamine fauriei,,Perennial,0.3,4-8,,LMH,SN,MWe,2,0,,Cardamine flexuosa
7,Cardamine glacialis,,Perennial,0.3,-,,LMH,SN,M,2,0,,Cardamine flexuosa
8,Cardamine heptaphylla,,Perennial,0.4,-,,LMH,SN,MWe,2,0,,Cardamine flexuosa
9,Cardamine hirsuta,Hairy Bittercress,Annual,0.3,4-8,,LMH,SN,M,3,0,1.0,Cardamine flexuosa
10,Cardamine impatiens,Narrowleaf bittercress,Annual/Biennial,0.6,4-8,,LMH,SN,MWe,2,1,0.0,Cardamine flexuosa
11,Cardamine kitaibelii,,Perennial,0.2,5-9,,LMH,SN,MWe,2,0,,Cardamine flexuosa
12,Cardamine komarovii,,Perennial,0.3,-,,LMH,SN,MWe,2,0,,Cardamine flexuosa
13,Cardamine leucantha,,Perennial,0.6,4-8,,LMH,SN,MWe,2,1,,Cardamine flexuosa
14,Cardamine loxostemonoides,Cuckoo Flower,Annual,0.3,-,,LMH,SN,M,1,0,,Cardamine flexuosa
15,Cardamine lyrata,,Perennial,0.5,6-9,,LMH,SN,MWe,2,0,,Cardamine flexuosa
16,Cardamine macrophylla,,Perennial,0.3,5-9,,LMH,SN,MWe,2,0,,Cardamine flexuosa
17,Cardamine nasturtioides,,Perennial,0.3,-,,LMH,SN,M,2,0,,Cardamine flexuosa
18,Cardamine nipponica,,Perennial,0.1,-,,LMH,SN,M,1,0,,Cardamine flexuosa
19,Cardamine oligosperma,"Spring Cress, Little western bittercress, Umbel bittercress",Annual/Biennial,0.3,0-0,,LMH,SN,MWe,2,1,,Cardamine flexuosa
20,Cardamine pennsylvanica,Bittercress,Biennial/Perennial,0.6,4-8,,LMH,SN,MWe,2,1,,Cardamine flexuosa
21,Cardamine pentaphyllos,,Perennial,0.3,-,,LMH,SN,MWe,2,0,,Cardamine flexuosa
22,Cardamine pratensis,Cuckoo Flower,Perennial,0.5,4-8,,LMH,SN,MWe,3,2,2.0,Cardamine flexuosa
23,Cardamine prorepens,,Perennial,0.4,4-8,,LMH,SN,MWe,2,0,,Cardamine flexuosa
24,Cardamine raphanifolia,,Perennial,0.5,4-8,,LMH,FS,MWe,1,0,2.0,Cardamine flexuosa
25,Cardamine rotundifolia,"American Water Cress, American bittercress",Perennial,0.3,5-9,,LMH,SN,MWeWa,2,0,,Cardamine flexuosa
26,Cardamine schinziana,,Perennial,0.3,4-8,,LMH,SN,MWe,2,0,,Cardamine flexuosa
27,Cardamine scutata,,Annual/Biennial,0.3,4-8,,LMH,SN,MWe,2,0,,Cardamine flexuosa
28,Cardamine trifolia,,Perennial,0.2,6-9,,LMH,FS,MWE,1,0,3.0,Cardamine flexuosa
