,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Atriplex argentea,"Silvery Orach, Silverscale saltbush, Stalked saltbush",Annual,0.5,0-0,,LM,N,M,2,2,2.0,Atriplex serenana
1,Atriplex argentea expansa,Silverscale Saltbush,Annual,0.6,-,,LM,N,M,2,0,,Atriplex serenana
2,Atriplex californica,"California Orach, California saltbush",Perennial,0.1,7-10,,LM,N,DM,3,0,,Atriplex serenana
3,Atriplex canescens,"Grey Sage Brush, Fourwing saltbush",Shrub,1.8,6-9,,LM,N,DM,4,1,3.0,Atriplex serenana
4,Atriplex carnosa,Thickleaf Orach,Annual,0.9,-,,LM,N,DM,2,0,,Atriplex serenana
5,Atriplex confertifolia,"Shadscale, Shadscale saltbush",Shrub,1.8,6-9,,LM,N,DM,4,1,0.0,Atriplex serenana
6,Atriplex coronata,Crownscale,Annual,0.4,-,,LM,N,DM,2,0,,Atriplex serenana
7,Atriplex dimorphostegia,,Annual,0.2,-,,LM,N,DM,2,0,,Atriplex serenana
8,Atriplex elegans,Wheelscale Saltbush,Annual,0.2,0-0,,LM,N,DM,2,0,0.0,Atriplex serenana
9,Atriplex glabriuscula,"Scotland orache, Maritime saltbush, Frankton's saltbush, Northeastern saltbush",Annual,0.3,0-0,,LM,N,DM,2,0,,Atriplex serenana
10,Atriplex gmelinii,Gmelin's saltbush,Annual,0.5,0-0,,LM,N,DM,2,0,,Atriplex serenana
11,Atriplex halimus,"Sea Orach, Saltbush",Shrub,2.0,7-10,M,LM,N,DM,5,1,3.0,Atriplex serenana
12,Atriplex hastata,Hastate Orach,Annual,0.8,0-0,,LM,N,DM,3,0,2.0,Atriplex serenana
13,Atriplex hortensis,"Orach, Garden orache",Annual,1.8,5-9,F,LM,N,M,4,2,3.0,Atriplex serenana
14,Atriplex lapathifolia,,Annual,0.9,-,,LM,N,DM,3,0,,Atriplex serenana
15,Atriplex lentiformis,"Quail Bush, Big saltbush, Quailbush,",Shrub,3.0,7-10,,LM,N,DM,3,1,2.0,Atriplex serenana
16,Atriplex maximowicziana,Maximowicz's saltbush,Perennial,0.8,0-0,,LM,N,DM,2,0,,Atriplex serenana
17,Atriplex mucronata,,Annual,0.4,-,,LMH,N,DM,2,0,,Atriplex serenana
18,Atriplex nummularia,"Giant Saltbush, Bluegreen saltbush",Shrub,3.5,7-10,,LM,N,DM,3,2,3.0,Atriplex serenana
19,Atriplex nuttallii,Nuttall's Saltbush,Shrub,0.9,5-9,,LM,N,DM,4,0,0.0,Atriplex serenana
20,Atriplex patula,"Spreading Orach, Spear saltbush",Annual,0.8,0-0,,LM,N,M,3,1,,Atriplex serenana
21,Atriplex powellii,Powell's Saltweed,Annual,1.5,-,,LM,N,DM,2,0,,Atriplex serenana
22,Atriplex saccaria,Sack Saltbush,Annual,0.3,-,,LM,N,DM,2,0,,Atriplex serenana
23,Atriplex semibaccata,"Australian Saltbush. Australian saltbush, Creeping saltbush",Shrub,0.5,9-11,F,LMH,N,DM,2,0,3.0,Atriplex serenana
24,Atriplex subcordata,,Annual,0.5,-,,LM,N,DM,2,0,,Atriplex serenana
25,Atriplex tatarica,Tatarian orache,Annual,1.5,0-0,,LM,N,DM,2,0,,Atriplex serenana
