,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Populus alba,White Poplar,Tree,20.0,3-9,F,LMH,N,DM,1,2,3,Populus tremula
1,Populus angustifolia,Narrowleaf Cottonwood,Tree,30.0,3-7,F,LMH,N,M,1,2,2,Populus tremula
2,Populus 'Balsam Spire',Tacatricho 32,Tree,30.0,4-8,F,LMH,N,M,0,3,2,Populus tremula
3,Populus balsamifera,"Balsam Poplar, Black cottonwood",Tree,30.0,0-0,F,LMH,N,M,1,3,3,Populus tremula
4,Populus ciliata,Himalayan Poplar,Tree,20.0,0-0,F,LMH,N,M,0,2,2,Populus tremula
5,Populus deltoides,"Eastern Cottonwood, Plains cottonwood, Rio Grande cottonwood, Necklace Poplar",Tree,30.0,3-9,F,LMH,N,M,2,2,4,Populus tremula
6,Populus deltoides monilifera,Plains Cottonwood,Tree,30.0,0-0,F,LMH,N,M,1,2,3,Populus tremula
7,Populus deltoides wislizenii,Rio Grande Cottonwood,Tree,30.0,0-0,F,LMH,N,M,2,1,3,Populus tremula
8,Populus euphratica,,Tree,15.0,0-0,F,LMH,N,MWe,0,1,3,Populus tremula
9,Populus fremontii,"Cottonwood, Fremont cottonwood, Fremont Poplar, Western Cottonwood",Tree,25.0,2-9,F,LMH,N,DM,1,2,3,Populus tremula
10,Populus grandidentata,"Canadian Aspen, Bigtooth aspen",Tree,20.0,2-5,F,LMH,N,M,1,1,2,Populus tremula
11,Populus heterophylla,Swamp Cottonwood,Tree,25.0,0-0,F,LMH,N,M,0,1,2,Populus tremula
12,Populus hybrids,Hybrid poplar,Tree,50.0,2-10,F,LMH,SN,DM,3,3,4,Populus tremula
13,Populus maximowiczii,"Doronoki, Japanese poplar",Tree,30.0,4-8,F,LMH,N,M,0,1,2,Populus tremula
14,Populus nigra,"Black Poplar, Lombardy poplar",Tree,30.0,3-9,F,LMH,N,M,1,3,4,Populus tremula
15,Populus pseudosimonii,,Tree,20.0,0-0,,LMH,N,M,1,1,2,Populus tremula
16,Populus sieboldii,Japanese Aspen,Tree,20.0,4-8,F,LMH,N,M,1,1,2,Populus tremula
17,Populus simonii,"Simon poplar, Chinese Poplar",Tree,30.0,2-5,F,LMH,N,M,1,1,2,Populus tremula
18,Populus tremuloides,"American Aspen - Poplar, Quaking aspen",Tree,20.0,2-5,F,LMH,N,DM,1,3,3,Populus tremula
19,Populus trichocarpa,"Western Balsam Poplar, Black cottonwood",Tree,40.0,4-8,F,LMH,N,M,1,3,4,Populus tremula
20,Populus x canadensis,"Canadian Poplar, Carolina Poplar",Tree,40.0,4-9,F,LMH,N,M,0,1,3,Populus tremula
21,Populus x canescens,Grey Poplar,Tree,30.0,4-9,F,LMH,N,M,0,1,2,Populus tremula
