,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Actinidia arguta,Tara Vine,Climber,15.0,4-8,,LMH,SN,M,5,0,2.0,Actinidia callosa formosana
1,Actinidia arguta cordifolia,,Climber,7.0,-,,LMH,SN,M,4,0,,Actinidia callosa formosana
2,Actinidia arguta rufa,,Climber,7.0,-,,LMH,SN,M,4,0,,Actinidia callosa formosana
3,Actinidia arisanensis,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
4,Actinidia asymmetrica,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
5,Actinidia callosa,,Climber,9.0,6-9,,LMH,SN,M,3,0,1.0,Actinidia callosa formosana
6,Actinidia callosa henryi,,Climber,7.0,7-10,,LMH,SN,M,3,0,,Actinidia callosa formosana
7,Actinidia callosa indochinensis,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
8,Actinidia callosa pubescens,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
9,Actinidia chinensis,Kiwi,Climber,7.5,6-9,,LMH,SN,M,4,2,2.0,Actinidia callosa formosana
10,Actinidia coriacea,,Climber,8.0,5-9,,LMH,SN,M,3,0,,Actinidia callosa formosana
11,Actinidia deliciosa,Kiwi Fruit,Climber,9.0,6-9,M,LMH,SN,M,5,1,1.0,Actinidia callosa formosana
12,Actinidia eriantha,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
13,Actinidia fortunatii,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
14,Actinidia fulvicoma,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
15,Actinidia giraldii,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
16,Actinidia glabra,,Climber,13.5,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
17,Actinidia hemsleyana,,Climber,9.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
18,Actinidia henryi,,Climber,15.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
19,Actinidia holotricha,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
20,Actinidia hypoleuca,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
21,Actinidia kiusiana,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
22,Actinidia kolomikta,Kiwi,Climber,10.0,3-8,M,LMH,SN,M,4,0,0.0,Actinidia callosa formosana
23,Actinidia kolomikta gagnepainii,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
24,Actinidia kwangsiensis,,Climber,3.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
25,Actinidia lanceolata,,Climber,20.0,5-9,,LMH,SN,M,3,0,,Actinidia callosa formosana
26,Actinidia latifolia,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
27,Actinidia longicauda,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
28,Actinidia maloides,,Climber,6.0,-,,LMH,SN,M,3,0,,Actinidia callosa formosana
