,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Smilax aristolochiifolia,Mexican Sarsaparilla,Perennial Climber,5.0,10-12,F,LMH,SN,M,2,4,0.0,Smilax trinervula
1,Smilax aspera,"Sarsaparilla, Rough bindweed",Climber,3.0,8-11,,LMH,SN,M,3,3,3.0,Smilax trinervula
2,Smilax auriculata,Earleaf Greenbrier,Climber,7.0,-,,LMH,SN,M,2,2,,Smilax trinervula
3,Smilax bona-nox,"Greenbriar, Saw greenbrier, Dunes saw greenbrier",Climber,6.0,0-0,,LMH,SN,M,3,2,,Smilax trinervula
4,Smilax china,China Root,Climber,4.5,5-9,,LMH,SN,M,4,3,1.0,Smilax trinervula
5,Smilax cordifolia,,Perennial,0.0,-,,LMH,SN,M,1,0,,Smilax trinervula
6,Smilax discotis,,Climber,7.0,7-10,,LMH,SN,M,1,0,,Smilax trinervula
7,Smilax febrifuga,Ecuadorian Sarsaparilla,Climber,12.0,10-12,F,LMH,SN,M,3,4,0.0,Smilax trinervula
8,Smilax glabra,tufuling,Climber,3.0,-,,LMH,SN,M,2,3,,Smilax trinervula
9,Smilax glauca,Cat Greenbrier,Climber,5.0,4-8,,LMH,SN,DM,2,2,,Smilax trinervula
10,Smilax glyciphylla,Sarsparilla,Climber,0.0,-,,LMH,SN,M,1,1,,Smilax trinervula
11,Smilax herbacea,"Carrion Flower, Smooth carrionflower",Perennial Climber,2.5,4-8,,LMH,SN,M,4,1,2.0,Smilax trinervula
12,Smilax hispida,Hag Briar,Climber,15.0,4-8,,LMH,SN,M,2,2,,Smilax trinervula
13,Smilax lanceifolia,,Climber,2.0,-,,LMH,SN,M,2,1,,Smilax trinervula
14,Smilax laurifolia,Laurel Greenbrier,Climber,6.0,7-10,,LMH,SN,M,3,2,0.0,Smilax trinervula
15,Smilax nipponica,,Perennial Climber,2.0,-,,LMH,SN,M,3,2,,Smilax trinervula
16,Smilax officinalis,Honduran sarsaparilla,Perennial Climber,25.0,10-12,F,LMH,SN,M,2,4,2.0,Smilax trinervula
17,Smilax pseudochina,False China Root,Climber,2.0,-,,LMH,SN,MWe,3,2,,Smilax trinervula
18,Smilax riparia,,Perennial Climber,0.0,-,,LMH,SN,M,2,0,,Smilax trinervula
19,Smilax rotundifolia,"Horse Brier, Roundleaf greenbrier, Brambles",Climber,12.0,4-9,F,LMH,SN,M,3,2,0.0,Smilax trinervula
20,Smilax sieboldii,,Climber,2.0,-,,LMH,SN,M,1,0,,Smilax trinervula
