,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Cyperus aristatus,Bearded nutsedge,Perennial,1.5,7-10,,LM,N,MWe,2,0,2,Cyperus esculentus
1,Cyperus articulatus,"Jointed flatsedge, Priprioca, Piripiri",Perennial,1.8,10-12,F,LMH,N,MWeWa,1,4,2,Cyperus esculentus
2,Cyperus cephalotes,"Bhada, Flat Sedges, Nut Sedges or Umbrella Sedge.",Perennial,0.3,10-12,F,LMH,N,WeWa,0,1,2,Cyperus esculentus
3,Cyperus distans,"Slender Cyperus, Piedmont flatsedge",Perennial,0.5,0-0,,LM,N,MWe,1,1,2,Cyperus esculentus
4,Cyperus fendlerianus,Fendler's Flatsedge,Perennial,1.5,-,,LM,N,MWe,2,0,2,Cyperus esculentus
5,Cyperus giganteus,"Piripiri, Mexican Papyrus",Perennial,1.5,9-11,F,LMH,N,WeWa,0,2,3,Cyperus esculentus
6,Cyperus longus,Galingale,Perennial,1.2,6-9,F,LMH,N,MWeWa,2,1,3,Cyperus esculentus
7,Cyperus papyrus,Papyrus. Papyrus sedge,Perennial,5.0,9-12,F,LMH,N,WeWa,2,2,2,Cyperus esculentus
8,Cyperus rotundus,Nut Grass,Perennial,0.6,0-0,,LM,N,MWe,3,3,2,Cyperus esculentus
9,Cyperus schweinitzii,"Flatsedge, Schweinitz's flatsedge",Perennial,0.8,0-0,,LM,N,MWe,2,0,2,Cyperus esculentus
10,Cyperus setigerus,Lean flatsedge,Perennial,1.0,0-0,,LM,N,MWe,2,0,2,Cyperus esculentus
11,Cyperus tegetiformis,,Perennial,0.0,-,,LM,N,MWe,0,0,2,Cyperus esculentus
12,Cyperus textilis,"Flat sedge, Basket grass,",Perennial,1.5,9-12,F,LMH,FSN,MWeWa,0,0,4,Cyperus esculentus
