,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Bambusa atra,Clumping Bamboo. Long pipe bamboo.,Bamboo,8.0,10-12,F,LMH,N,MWe,2,0,3.0,Bambusa textilis
1,Bambusa bambos,Giant Thorny Bamboo,Bamboo,30.0,10-12,F,MH,SN,M,3,3,5.0,Bambusa textilis
2,Bambusa blumeana,"Spiny Bamboo. Spiny bamboo, Thorny bamboo",Bamboo,20.0,10-12,F,MH,N,M,2,0,3.0,Bambusa textilis
3,Bambusa heterostachya,Malay Dwarf Green,Bamboo,8.0,10-12,F,LMH,SN,M,0,0,3.0,Bambusa textilis
4,Bambusa multiplex,"Hedge Bamboo, Chinese Goddess Bamboo",Bamboo,4.5,8-11,F,LM,SN,M,2,0,3.0,Bambusa textilis
5,Bambusa nutans,"Nodding Bamboo, Mai bong",Bamboo,12.0,9-10,F,LMH,SN,M,2,0,4.0,Bambusa textilis
6,Bambusa odashimae,Odashimae Bamboo,Bamboo,15.0,9-12,F,LMH,SN,M,4,0,0.0,Bambusa textilis
7,Bambusa oldhamii,"Ryoku-Chiku, Giant Timber Bamboo, Oldham's Bamboo",Bamboo,6.0,9-12,,LMH,SN,M,2,0,3.0,Bambusa textilis
8,Bambusa pervariabilis,Clumping Bamboo,Bamboo,8.0,9-11,F,LMH,SN,M,3,0,4.0,Bambusa textilis
9,Bambusa polymorpha,"Burmese bamboo, Jama Betua",Bamboo,12.0,9-12,F,LMH,SN,M,2,0,4.0,Bambusa textilis
10,Bambusa tulda,Bengal Bamboo. Spineless Indian bamboo,Bamboo,15.0,10-12,F,LMH,SN,M,2,0,4.0,Bambusa textilis
11,Bambusa vulgaris,Common Bamboo,Bamboo,20.0,9-12,F,LMH,SN,M,3,2,4.0,Bambusa textilis
12,Chimonobambusa marmorea,Kan-Chiku,Bamboo,1.5,5-9,F,LMH,SN,M,1,0,3.0,Bambusa textilis
13,Chimonobambusa pachystachys,Thorny Bamboo,Bamboo,5.0,-,,LMH,SN,M,1,0,,Bambusa textilis
14,Chimonobambusa purpurea,,Bamboo,5.0,-,,LMH,SN,M,1,0,2.0,Bambusa textilis
15,Chimonobambusa quadrangularis,Square Bamboo,Bamboo,3.0,5-9,,LMH,S,M,2,0,3.0,Bambusa textilis
