,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Persoonia acerosa,,Shrub,1.8,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
1,Persoonia arborea,,Shrub,6.0,-,S,LM,N,DM,2,0,2.0,Persoonia chamaepeuce
2,Persoonia curvifolia,,Shrub,1.0,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
3,Persoonia fastigiata,,Shrub,1.0,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
4,Persoonia gunnii,,Shrub,3.5,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
5,Persoonia juniperina,,Shrub,0.8,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
6,Persoonia levis,Broad-Leaved Geebong,Shrub,5.0,8-11,,LM,N,DM,2,0,,Persoonia chamaepeuce
7,Persoonia linearis,,Shrub,5.0,8-11,,LM,N,DM,2,0,,Persoonia chamaepeuce
8,Persoonia mollis,,Shrub,1.8,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
9,Persoonia oxycocceoides,,Shrub,1.0,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
10,Persoonia pinifolia,Pin-Leaf Geebung,Shrub,3.5,8-11,,LM,N,DM,2,0,,Persoonia chamaepeuce
11,Persoonia rigida,,Shrub,0.0,-,,LM,N,DM,2,0,,Persoonia chamaepeuce
