,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Taraxacum albidum,,Perennial,0.4,4-8,,LMH,SN,M,2,0,,Taraxacum kok-saghyz - L.E.Rodin.
1,Taraxacum bessarabicum,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
2,Taraxacum brassicifolium,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
3,Taraxacum formosanum,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
4,Taraxacum heterolepis,,Perennial,0.0,-,,LMH,SN,M,1,2,,Taraxacum kok-saghyz - L.E.Rodin.
5,Taraxacum hondoense,,Perennial,0.3,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
6,Taraxacum hybernum,,Perennial,0.0,-,,LMH,SN,M,1,0,2.0,Taraxacum kok-saghyz - L.E.Rodin.
7,Taraxacum japonicum,,Perennial,0.2,-,,LMH,SN,M,1,1,,Taraxacum kok-saghyz - L.E.Rodin.
8,Taraxacum laevigatum,"Red-Seed Dandelion, Rock dandelion",Perennial,0.2,0-0,,LMH,SN,DM,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
9,Taraxacum magellanicum,,Perennial,0.1,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
10,Taraxacum megalorrhizon,,Perennial,0.2,4-8,,LMH,SN,M,1,0,2.0,Taraxacum kok-saghyz - L.E.Rodin.
11,Taraxacum mongolicum,,Perennial,0.2,-,,LMH,SN,M,1,3,,Taraxacum kok-saghyz - L.E.Rodin.
12,Taraxacum obovatum,,Perennial,0.2,4-8,,LMH,SN,M,2,0,,Taraxacum kok-saghyz - L.E.Rodin.
13,Taraxacum officinale,"Dandelion - Kukraundha, Kanphool, Common dandelion, Dandelion",Perennial,0.5,5-9,F,LMH,SN,M,4,3,3.0,Taraxacum kok-saghyz - L.E.Rodin.
14,Taraxacum platycarpum,,Perennial,0.3,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
15,Taraxacum pseudoalbidum,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum kok-saghyz - L.E.Rodin.
16,Taraxacum sinicum,,Perennial,0.0,-,,LMH,SN,M,1,3,,Taraxacum kok-saghyz - L.E.Rodin.
17,Taraxacum tibetanum,,Perennial,0.0,-,,LMH,SN,M,1,2,,Taraxacum kok-saghyz - L.E.Rodin.
