,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Erythrina acanthocarpa,,Shrub,2.0,8-11,,LMH,SN,M,0,1,,Erythrina edulis
1,Erythrina crista-galli,"Coral Tree, Crybabytree",Shrub,3.0,7-10,,LMH,N,M,0,1,,Erythrina edulis
2,Erythrina fusca,"Coral Bean, Swamp Immortelle",Tree,15.0,10-12,M,LMH,N,DM,2,2,4.0,Erythrina edulis
3,Erythrina herbacea,"Cardinal Spear, Redcardinal",Perennial,1.0,7-10,,LMH,SN,M,1,1,,Erythrina edulis
4,Erythrina humeana,"Dwarf Kaffirboom, Dwarf erythrina",Shrub,4.0,8-11,,LMH,SN,M,0,1,,Erythrina edulis
5,Erythrina poeppigiana,Mountain Immortelle. Madre de Cacao,Tree,25.0,10-12,F,LMH,N,DM,1,0,3.0,Erythrina edulis
6,Erythrina sandwicensis,"Wiliwili, Hawaiian coral tree",Tree,10.0,10-12,F,LMH,N,DM,0,2,2.0,Erythrina edulis
7,Erythrina subumbrans,Dadap. December tree,Tree,20.0,10-12,F,LMH,N,DM,2,2,3.0,Erythrina edulis
8,Erythrina verna,Mulungu,Tree,12.0,10-12,F,LMH,N,DM,0,4,2.0,Erythrina edulis
9,Erythrina x bidwillii,,Shrub,4.0,7-10,,LMH,SN,M,0,1,,Erythrina edulis
