,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Akebia quinata,"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Climber,12.0,4-9,F,LMH,FSN,M,4,2,3.0,Cola nitida
1,Amelanchier basalticola,Dwarf Service-berry,Shrub,3.0,4-8,,LMH,SN,M,4,0,0.0,Cola nitida
2,Chenopodium pratericola,Desert Goosefoot,Annual,1.0,-,,LMH,N,M,2,0,1.0,Cola nitida
3,Cola acuminata,"Cola Nut, Kola, Bissy Nut",Tree,20.0,10-12,M,LMH,N,M,3,4,2.0,Cola nitida
4,Dalbergia monticola,"Hazovola, tsiandalana, voamboana",Tree,12.0,10-12,S,LMH,N,M,0,0,4.0,Cola nitida
5,Dichopogon fimbriatus,Chocolate Lily,Perennial,0.5,-,,LMH,N,M,3,0,,Cola nitida
6,Dichopogon strictus,Chocolate Lily,Perennial,0.9,8-11,,LMH,N,M,3,0,,Cola nitida
7,Diospyros digyna,"Black Sapote, Chocolate Pudding Tree",Tree,15.0,10-12,S,LMH,SN,M,4,1,2.0,Cola nitida
8,Exocarpus syrticola,Coast Ballart,,0.0,-,,LMH,SN,M,0,0,,Cola nitida
9,Fragaria nubicola,Indian Strawberry,Perennial,0.2,5-9,,LMH,SN,M,2,1,,Cola nitida
10,Fritillaria affinis,"Chocolate Lily, Checker lily",Bulb,0.6,4-8,,LM,SN,M,3,0,0.0,Cola nitida
11,Juniperus silicicola,"Southern Redcedar, Juniper, Southern Red Cedar",Tree,20.0,7-10,S,LMH,N,DM,2,2,3.0,Cola nitida
12,Physalis arenicola,Cypresshead groundcherry,Perennial,0.0,0-0,,LMH,N,M,2,0,,Cola nitida
13,Pinus culminicola,Cerro Potosi Pinyon,Tree,5.0,6-9,,LM,N,DM,2,2,3.0,Cola nitida
14,Pinus monticola,Western White Pine,Tree,60.0,4-8,F,LM,N,DM,2,2,3.0,Cola nitida
15,Rubus phoenicolasius,"Japanese Wineberry, Wine raspberry",Shrub,3.0,4-8,M,LMH,SN,M,5,0,1.0,Cola nitida
16,Sphagneticola trilobata,Singapore daisy,Perennial,0.4,9-11,F,LMH,SN,DM,0,2,2.0,Cola nitida
17,Vitex payos,Chocolate Berry,Tree,8.0,10-12,M,LMH,N,DM,4,2,2.0,Cola nitida
18,Vitis monticola,Sweet Mountain Grape,Climber,10.0,5-9,,LMH,SN,DM,3,0,1.0,Cola nitida
