,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Scirpus acutus,Hard Stem Bulrush,Perennial,2.0,-,F,LMH,SN,MWeWa,3,1,2.0,Scirpus caldwellii
1,Scirpus affinis,,Perennial,0.6,-,,LMH,SN,MWeWa,2,0,2.0,Scirpus caldwellii
2,Scirpus americanus,American Bulrush,Perennial,0.6,-,,LMH,SN,MWeWa,2,0,2.0,Scirpus caldwellii
3,Scirpus cyperinus,"Woolly Grass Bulrush, Woolgrass",Perennial,1.5,6-9,,LMH,SN,MWeWa,1,0,1.0,Scirpus caldwellii
4,Scirpus fluviatilis,River Bulrush,Perennial,2.0,-,,LMH,SN,MWeWa,2,1,1.0,Scirpus caldwellii
5,Scirpus lacustris,Bulrush,Perennial,2.5,4-8,,LMH,SN,MWeWa,3,1,2.0,Scirpus caldwellii
6,Scirpus litoralis,Bulrush,Perennial,0.0,0-0,,LMH,SN,M,0,0,,Scirpus caldwellii
7,Scirpus maritimus,Seaside Bulrush. Cosmopolitan Bulrush,Perennial,1.0,5-9,,LMH,N,MWeWa,3,1,2.0,Scirpus caldwellii
8,Scirpus medianus,,Perennial,2.0,-,,LMH,SN,M,0,0,,Scirpus caldwellii
9,Scirpus microcarpus,Panicled Bulrush,Perennial,1.5,-,,LMH,SN,MWeWa,3,1,1.0,Scirpus caldwellii
10,Scirpus nevadensis,Nevada Bulrush,Perennial,0.3,-,,LMH,SN,MWeWa,2,0,1.0,Scirpus caldwellii
11,Scirpus paludosus,Bayonet Grass,Perennial,0.5,-,,LMH,SN,MWeWa,2,0,,Scirpus caldwellii
12,Scirpus subterminalis,Water Bulrush,Perennial,0.6,-,,LMH,SN,MWeWa,2,0,,Scirpus caldwellii
13,Scirpus ternatus,,Perennial,1.0,-,,LMH,SN,MWeWa,1,0,,Scirpus caldwellii
14,Scirpus validus,River Club-Rush,Perennial,1.5,6-9,,LMH,SN,MWeWa,2,1,1.0,Scirpus caldwellii
