,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Aconitum balfourii,,Perennial,0.0,-,,LMH,SN,M,0,1,,Aconitum septentrionale
1,Aconitum carmichaelii,"Japanese Aconite, Carmichael's monkshood",Perennial,1.5,3-7,,LMH,SN,M,0,2,,Aconitum septentrionale
2,Aconitum chasmanthum,,Perennial,0.5,-,,LMH,SN,M,0,1,,Aconitum septentrionale
3,Aconitum chinense,,Perennial,1.2,5-9,,LMH,SN,M,0,1,,Aconitum septentrionale
4,Aconitum columbianum,Columbian monkshood,Perennial,0.2,0-0,,LMH,SN,M,0,1,1.0,Aconitum septentrionale
5,Aconitum delphinifolium,,Perennial,0.2,-,,LMH,FS,M,0,1,1.0,Aconitum septentrionale
6,Aconitum dienorrhizum,,Perennial,0.0,-,,LMH,SN,M,0,1,,Aconitum septentrionale
7,Aconitum ferox,Indian aconite,Perennial,1.0,5-9,,LMH,SN,M,0,1,,Aconitum septentrionale
8,Aconitum fischeri,Fischer monkshood,Perennial,0.0,0-0,,LMH,SN,M,0,1,,Aconitum septentrionale
9,Aconitum gammiei,,Perennial,0.6,-,,LMH,SN,M,0,1,,Aconitum septentrionale
10,Aconitum hemsleyanum,,Perennial,1.5,4-8,,LMH,SN,M,0,1,,Aconitum septentrionale
11,Aconitum heterophyllum,,Perennial,1.5,5-9,,LMH,SN,M,1,2,,Aconitum septentrionale
12,Aconitum japonicum,,Perennial,1.0,4-8,,LMH,SN,M,0,2,,Aconitum septentrionale
13,Aconitum koreanum,Korean Monk's Hood,Perennial,1.5,-,,LMH,SN,M,1,0,,Aconitum septentrionale
14,Aconitum kusnezoffii,Bei Wu Tou,Perennial,1.5,5-9,,LMH,SN,M,0,1,,Aconitum septentrionale
15,Aconitum lycoctonum,Wolfsbane,Perennial,1.0,3-7,,LMH,SN,M,1,1,,Aconitum septentrionale
16,Aconitum lycoctonum vulparia,Wolfbane,Perennial,1.0,3-7,,LMH,SN,M,1,1,,Aconitum septentrionale
17,Aconitum maximum,Kamchatka aconite,Perennial,0.2,0-0,,LMH,SN,M,0,0,1.0,Aconitum septentrionale
18,Aconitum mokchangense,,,0.0,-,,LMH,SN,M,1,0,,Aconitum septentrionale
19,Aconitum multifidum,,Perennial,1.0,5-9,,LMH,SN,M,1,0,,Aconitum septentrionale
20,Aconitum napellus,"Aconite, Venus' chariot, Wolfsbane Garden, Monk's Hood Garden",Perennial,1.5,3-8,,LMH,SN,M,1,2,,Aconitum septentrionale
21,Aconitum orientale,,Perennial,1.5,5-9,,LMH,SN,M,0,1,,Aconitum septentrionale
22,Aconitum palmatum,,Perennial,0.0,-,,LMH,SN,M,0,1,,Aconitum septentrionale
23,Aconitum rotundifolium,,Perennial,0.5,-,,LMH,SN,M,1,0,,Aconitum septentrionale
24,Aconitum uncinatum,"Wild Monkshood, Southern blue monkshood",Perennial,1.0,5-9,,LMH,SN,M,0,1,,Aconitum septentrionale
25,Aconitum violaceum,,Perennial,0.0,5-9,,LMH,SN,M,1,1,,Aconitum septentrionale
