,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Hesperaloe funifera,New Mexico false yucca,Perennial,1.8,6-9,S,LM,N,DM,0,0,2,Yucca whipplei
1,Yucca aloifolia,"Spanish Bayonet, Aloe yucca, Dagger Plant, Yucca, Spanish Bayonet",Tree,7.5,8-10,S,LMH,SN,DM,3,1,2,Yucca whipplei
2,Yucca angustissima,"Narrowleaf yucca, Kanab yucca, Toft's yucca, Yucca",Shrub,0.4,4-9,S,LMH,SN,DM,3,0,4,Yucca whipplei
3,Yucca baccata,"Spanish Bayonet, Banana yucca, Blue Yucca, Spanish Yucca",Shrub,0.9,6-11,S,LMH,N,DM,4,1,5,Yucca whipplei
4,Yucca brevifolia,"Joshua Tree, Jaeger's Joshua tree, Yucca, Joshua Tree",Tree,9.0,9-11,M,LMH,SN,DM,3,0,2,Yucca whipplei
5,Yucca constricta,Buckley's Yucca,Perennial,1.5,8-11,,LMH,SN,DM,2,0,2,Yucca whipplei
6,Yucca elata,"Soap Tree, Soaptree yucca, Soapweed, Soapweed Yucca",Shrub,2.0,9-11,S,LMH,SN,DM,2,0,3,Yucca whipplei
7,Yucca filamentosa,"Spoonleaf Yucca, Adam's needle, Desert Candle, Needle Palm, St. Peter's Palm, Spanish Bayonet, Comm",Shrub,1.2,4-10,M,LMH,SN,DM,3,1,4,Yucca whipplei
8,Yucca filifera,,Shrub,10.0,6-9,,LMH,SN,DM,2,0,2,Yucca whipplei
9,Yucca gigantea,"Spineless yucca, Izote",Tree,6.0,9-11,F,LMH,SN,DM,3,0,2,Yucca whipplei
10,Yucca glauca,"Soapweed, Soapweed yucca, Gurney's yucca, American Vetch, Yucca, Narrowleaf Yucca, Soapweed",Shrub,1.5,4-10,S,LMH,SN,DM,2,2,2,Yucca whipplei
11,Yucca gloriosa,"Spanish Dagger, moundlily yucca, Palm Lily, Roman Candle, Mound Lily Yucca, Spanish Dagger",Shrub,1.8,6-11,S,LM,SN,DM,2,1,2,Yucca whipplei
12,Yucca harrimaniae,"Spanish Bayonet, New Mexico Spanish bayonet",Shrub,0.4,6-9,S,LMH,SN,DM,2,0,2,Yucca whipplei
13,Yucca recurvifolia,Curve-leaf yucca,Shrub,2.5,7-10,,LMH,SN,DM,3,0,2,Yucca whipplei
14,Yucca rupicola,"Twisted-Leaf Yucca, Texas yucca",Shrub,0.6,8-11,,LMH,SN,DM,2,0,2,Yucca whipplei
15,Yucca schidigera,"Mojave Yucca, Yucca",Tree,4.5,9-10,,LMH,N,DM,3,0,2,Yucca whipplei
