,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Cirsium acaulon,Stemless Thistle,Perennial,0.3,4-8,,LMH,N,M,0,1,2,Cirsium arvense
1,Cirsium amplexifolium,Dakiba-Hime-Azami,Perennial,1.5,-,,LMH,N,M,1,0,2,Cirsium arvense
2,Cirsium brevicaule,,Perennial,1.0,-,,LMH,N,M,1,0,2,Cirsium arvense
3,Cirsium brevistylum,"Indian Thistle, Clustered thistle",Perennial,1.8,0-0,,LMH,SN,M,3,0,2,Cirsium arvense
4,Cirsium buergeri,,Perennial,1.8,-,,LMH,N,M,1,0,2,Cirsium arvense
5,Cirsium chinense,,Perennial,0.8,-,,LMH,N,M,1,0,2,Cirsium arvense
6,Cirsium coreanum,,Perennial,0.0,-,,LMH,SN,M,1,0,2,Cirsium arvense
7,Cirsium dipsacolepis,,Perennial,1.0,-,,LMH,N,M,1,0,2,Cirsium arvense
8,Cirsium eatoni,Eaton's Thistle,Perennial,0.5,-,,LMH,N,DM,1,1,2,Cirsium arvense
9,Cirsium edule,Edible Thistle,Perennial,2.0,6-9,,LMH,N,M,3,0,2,Cirsium arvense
10,Cirsium eriophorum,Wooly Thistle,Biennial,1.5,5-9,,LMH,N,M,2,0,2,Cirsium arvense
11,Cirsium foliosum,Elk thistle,Perennial,0.6,5-9,,LMH,N,MWe,3,0,2,Cirsium arvense
12,Cirsium hookerianum,White Thistle,Perennial,1.5,-,,LMH,N,M,2,0,2,Cirsium arvense
13,Cirsium japonicum,"No-Azami, Japanese thistle",Biennial/Perennial,0.9,5-9,,LMH,N,M,2,2,2,Cirsium arvense
14,Cirsium kamtschaticum,Kamchatka thistle,Perennial,1.8,0-0,,LMH,N,M,1,0,2,Cirsium arvense
15,Cirsium lepskyle,,Perennial,0.0,-,,LMH,N,M,1,0,2,Cirsium arvense
16,Cirsium lineare,,Perennial,1.0,-,,LMH,N,M,1,0,2,Cirsium arvense
17,Cirsium maackii,,Perennial,1.0,-,,LMH,N,M,1,0,2,Cirsium arvense
18,Cirsium maritimum,,Perennial,0.4,-,,LMH,N,M,1,0,2,Cirsium arvense
19,Cirsium nipponicum,,Perennial,1.5,-,,LMH,N,M,1,1,2,Cirsium arvense
20,Cirsium occidentale,"Cobwebby Thistle, Snowy thistle, Compact cobwebby thistle",Perennial,1.0,8-11,,LMH,N,DM,2,0,2,Cirsium arvense
21,Cirsium ochrocentrum,Yellow Spined Thistle,Perennial,1.5,0-0,,LMH,N,DM,2,2,2,Cirsium arvense
22,Cirsium oleraceum,Cabbage Thistle,Perennial,1.2,-,,LMH,SN,MWe,2,0,2,Cirsium arvense
23,Cirsium oligophyllum,,Perennial,1.0,-,,LMH,N,M,2,0,2,Cirsium arvense
24,Cirsium pallidum,Pale Thistle,Biennial,1.5,0-0,,LMH,N,M,2,1,2,Cirsium arvense
25,Cirsium palustre,Marsh Thistle,Biennial,1.5,4-8,,LMH,SN,MWe,2,0,2,Cirsium arvense
26,Cirsium pectinellum,,Perennial,1.5,-,,LMH,N,M,1,0,2,Cirsium arvense
27,Cirsium pendulum,,Biennial,1.8,-,,LMH,N,M,1,0,2,Cirsium arvense
28,Cirsium purpuratum,,Perennial,1.0,-,,LMH,N,M,1,0,2,Cirsium arvense
